"theta_a","theta_q","theta_h","Tw","eta","m_f","n_f","w_f","A","K_UWn","K_WnS","K_BWn","K_HU","K_SH","rho_B","rho_c","rho_w","delta_H","delta_S","delta_U","delta_Wn","delta_B","delta_Rn","delta_c","delta_w","sigma_Wnc","sigma_Wnw","sigma_Bc","sigma_Bw","K_WnSnf","K_WnBnf","K_HUf","K_WnSf","K_SHf","K_n","K_Bnf","epsilon","yield_kg.ha.last.d","tot.adult.bees.integ","tot.adult.bees.last.d","last_day"
0.02,6.2,6.2,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17295.5794369392,33781.0108404247,117.422212933563,61
0.02,6.4,6.4,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17406.9226257049,34041.4842602089,117.949424201718,61
0.02,6.6,6.6,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17514.2473024343,34292.6376919655,118.457258210353,61
0.02,6.8,6.8,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17617.779696024,34534.988060209,118.946838963527,61
0.02,7,7,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,34769.0126068167,119.419200563478,61
0.02,7.2,7.2,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,34995.1576296911,119.87530787908,61
0.02,7.4,7.4,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,35213.8333160895,120.316037506456,61
0.02,7.6,7.6,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,35425.4255742707,120.742216663132,61
0.02,7.8,7.8,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,35630.2893184142,121.154599844262,61
0.02,8,8,"Ap",0.075,0.00043,1,2,600,24.9007482355896,1.25357636697363,0.00396825396825397,1.4937046516924,19.6475731418366,0.79,0.33,0.04,0.003,0.003,0.003,0.0015,0.000741947962806103,0.00916885808835495,0.02,0.02,0.0083,0.0083,0.0013,0.0013,14.4670306108512,22.4948295804446,16.650416888924,57.1899502853373,24.3812696948649,7.11238593015027,0.631540108511619,0.01,17640,35828.7596473875,121.553902866346,61
